,어린이인구수,조출생율
조치원읍,5564,2.977815276192367
연기면,119,3.3236393851267136
연동면,140,2.1802325581395348
부강면,440,0.7422527370569678
금남면,514,1.4591439688715953
장군면,369,1.2243648607284972
연서면,524,2.2294887039239
전의면,373,1.1746280344557558
전동면,139,0.6470397929472663
소정면,168,0.9694619486185168
한솔동,4654,5.162651271233485
새롬동,7591,7.498011890786533
나성동,3258,7.0638820638820645
도담동,5821,5.548805184285135
어진동,2689,7.715080290661165
해밀동,5653,12.419354838709676
아름동,6644,6.620239016421633
종촌동,7001,6.800260435506041
고운동,10166,7.533747829496443
소담동,5645,10.142175705089613
반곡동,7370,13.83406113537118
보람동,4992,6.225722343425744
대평동,2510,9.270814761989659
다정동,7766,8.569193571326979
