,어린이인구수,조출생율,I
조치원읍,5564,2.977815276192367,-3.142141049183582
연기면,119,3.3236393851267136,-1.483174075612796
연동면,140,2.1802325581395348,-1.5261627906976745
부강면,440,0.7422527370569678,-2.449434032287994
금남면,514,1.4591439688715953,-1.875
장군면,369,1.2243648607284972,-1.694214876033058
연서면,524,2.2294887039239,-2.3365041617122473
전의면,373,1.1746280344557558,-2.190681284259984
전동면,139,0.6470397929472663,-1.34907796829505
소정면,168,0.9694619486185168,-2.443044110518662
한솔동,4654,5.162651271233485,-7.7506383923614965
새롬동,7591,7.498011890786533,-6.623849736812209
나성동,3258,7.0638820638820645,-4.50460687960688
도담동,5821,5.548805184285135,-6.072904009720535
어진동,2689,7.715080290661165,-7.2369247331120485
해밀동,5653,12.419354838709676,-8.117741935483872
아름동,6644,6.620239016421633,-3.5684807841114274
종촌동,7001,6.800260435506041,-4.597120740794328
고운동,10166,7.533747829496443,-6.541421609813476
소담동,5645,10.142175705089613,-2.842819432223406
반곡동,7370,13.83406113537118,-6.724017467248908
보람동,4992,6.225722343425744,-5.968924599584952
대평동,2510,9.270814761989659,-6.712426457479051
다정동,7766,8.569193571326979,-4.2840278765467215
